primaryTitle,startYear,endYear,duration,averageRating,rating_100,rating_category,numVotes,votes_normalized,genres,directors
The Torkelsons,1991,1992,1,7.9,79.0,High,1387,-0.2781886544515158,"Comedy, Drama, Family","Arlene Sanford, Robert Berlinger"
The Romance of Tiger and Rose,2020,2020,0,7.8,78.0,High,1385,-0.27821032013411034,"Comedy, Drama, Fantasy",Chuen-Yee Cha
Wonderland,2013,2015,2,7.7,77.0,High,1384,-0.2782211529754076,Drama,"Darren Ashton, Jennifer Leacey, Jovita O'Shaughnessy, Tori Garrett, Jet Wilkinson, Jonathan Brough, Julie Money, Peter Salmon, Ian Gilmour, Catherine Millar, Adrian Russell Wills"
Love My Way,2004,2007,3,8.2,82.0,High,1382,-0.2782428186580022,"Drama, Romance","Jessica Hobbs, Ian Watson, Shirley Barrett, Geoff Bennett, Garth Davis, Omar Madha, Kate Dennis, Emma Freeman"
Goodness Gracious Me,1998,2015,17,8.3,83.0,High,1380,-0.27826448434059675,Comedy,"Nick Wood, Gareth Carrivick"
Little Bird,2023,2023,0,8.1,81.0,High,1379,-0.278275317181894,Drama,"Zoe Leigh Hopkins, Elle-Máijá Tailfeathers"
Laurel Canyon,2020,2020,0,8.2,82.0,High,1375,-0.27831864854708316,"Documentary, History, Music",Alison Ellwood
Tales of Wells Fargo,1957,1962,5,7.9,79.0,High,1375,-0.27831864854708316,Western,"Earl Bellamy, Sidney Salkow, R.G. Springsteen, William Witney, Lewis R. Foster, David Lowell Rich, Frank McDonald, Gene Fowler Jr., William F. Claxton, James P. Yarbrough, George Waggner, Richard Bartlett, Jerry Hopper, Leslie H. Martinson, Allen H. Miner, Lawrence Doheny, Louis King, James H. Brown, Francis D. Lyon, Christian Nyby, Franklin Adreon, John English, James Neilson, Boris Sagal, Harry Harris, Stuart Heisler, Sidney Lanfield, Gene Reynolds"
The Real McCoys,1957,1963,6,7.6,76.0,High,1373,-0.2783403142296777,"Comedy, Family","Hy Averback, David Alexander, Richard Crenna, Sidney Miller, Charles Barton, Sheldon Leonard, Robert Gordon, Lawrence Dobkin, James V. Kern, Danny Arnold, Stanley Z. Cherry, Jeffrey Hayden"
Casper & Mandrilaftalen,1999,2003,4,8.3,83.0,High,1372,-0.27835114707097497,Comedy,-
The Nineties,2017,2017,0,8.1,81.0,High,1372,-0.27835114707097497,"Documentary, History",-
August 14,2020,2020,0,7.7,77.0,High,1370,-0.27837281275356957,"Crime, Drama, Thriller",Shihab Shaheen
Miss Friman's War,2013,2017,4,7.9,79.0,High,1368,-0.2783944784361641,"Drama, History","Harald Hamrell, Mikael Drake"
Non Non Biyori,2013,2021,8,7.8,78.0,High,1368,-0.2783944784361641,"Adventure, Animation, Comedy","Shin'ya Kawatsura, Jun Fukuda, Kôji Sawai, Yutaka Hirata, Matsuo Asami, Naoki Horiuchi, Jun'ya Koshiba, Kazumi Nakano, Rokô Ogiwara, Jin Tamamura, Tatsuya Abe, Takashi Ikehata, Yûta Takamura, Kento Shintani"
Marco Polo,1982,1983,1,7.6,76.0,High,1368,-0.2783944784361641,"Adventure, Biography, Drama",Giuliano Montaldo
Love for Love's Sake,2024,2024,0,8.1,81.0,High,1367,-0.2784053112774614,"Fantasy, Romance",-
The Real Hustle,2006,2012,6,8.0,80.0,High,1367,-0.2784053112774614,"Crime, Documentary","Jon Richards, Adam Wimpenny, Andy Brown, Vaughan Dagnell, Justin Bradley"
Epitafios,2004,2009,5,7.8,78.0,High,1366,-0.27841614411875865,"Crime, Drama, Horror","Alberto Lecchi, Jorge Nisco, Daniel Barone"
Sai de Baixo,1996,2013,17,7.9,79.0,High,1365,-0.27842697696005597,Comedy,"Dennis Carvalho, José Wilker, Daniel Filho, Jorge Fernando, José Alvarenga Jr., Cininha de Paula, Cecil Thiré"
Benjamin Franklin,2022,2022,0,8.2,82.0,High,1364,-0.27843780980135324,"Biography, Documentary, History",Ken Burns
Clatterford,2006,2009,3,7.7,77.0,High,1364,-0.27843780980135324,Comedy,"Mandie Fletcher, Steve Bendelack"
Mysterious Lotus Casebook,2023,2023,0,8.0,80.0,High,1363,-0.2784486426426505,"Action, Adventure, Drama","Hu Guo, Hoi-To Yam"
Queen In-hyun's Man,2012,2012,0,7.8,78.0,High,1363,-0.2784486426426505,"Fantasy, Romance",Byung-Soo Kim
MIGNON,2023,2023,0,8.1,81.0,High,1362,-0.2784594754839478,"Animation, Crime, Drama",Lewin
Visionaries: Knights of the Magical Light,1987,1987,0,7.6,76.0,High,1358,-0.2785028068491369,"Action, Adventure, Animation","Masakatsu Iijima, Yasumi Mikamoto"
Eternal Love of Dream,2020,2020,0,8.0,80.0,High,1357,-0.2785136396904342,"Drama, Fantasy, Romance",-
Whatever Happened to the Likely Lads?,1973,1974,1,7.8,78.0,High,1356,-0.27852447253173146,Comedy,"James Gilbert, Bernard Thompson, Dick Clement"
The Comedy Store,2020,2020,0,8.2,82.0,High,1355,-0.27853530537302873,"Comedy, Documentary, History",Mike Binder
Tell Me What You Saw,2020,2020,0,7.6,76.0,High,1354,-0.27854613821432606,"Mystery, Thriller",Joon-Hyeong Lee
Mayflies,2022,2022,0,7.6,76.0,High,1352,-0.2785678038969206,Drama,Peter Mackie Burns
Thank God You're Here,2006,2024,18,7.7,77.0,High,1351,-0.27857863673821787,"Comedy, Game-Show","Rob Sitch, Peter Ots, Peter Lawler, Jon Olb"
CardCaptors,2000,2003,3,8.0,80.0,High,1348,-0.27861113526210973,"Action, Animation, Drama","Morio Asaka, Ken Andô, Mamoru Kanbe, Sunao Katabuchi, Masaru Kitao, Akira Mano, Hitoyuki Matsui, Kazunori Mizuno, Nobuaki Nakanishi, Yorimichi Nakano, Akio Sakai, Jun'ichi Sakata, Shôji Yabushita"
Between Us,2022,2023,1,7.8,78.0,High,1348,-0.27861113526210973,"Drama, Romance",Siwaj Sawatmaneekul
Chef's Table: BBQ,2020,2020,0,7.7,77.0,High,1348,-0.27861113526210973,Documentary,"Zia Mandviwalla, Clay Jeter, Brian McGinn"
School Babysitters,2018,2018,0,7.7,77.0,High,1348,-0.27861113526210973,"Animation, Comedy, Family",Morishita Shuusei
Saint Seiya: Soul of Gold,2015,2015,0,7.6,76.0,High,1346,-0.2786328009447043,"Action, Adventure, Animation","Jôji Furuta, Masahiro Takata, Fumio Itô, Hiroshi Takeuchi, Koichi Yamaji"
The Peter Serafinowicz Show,2007,2008,1,8.0,80.0,High,1345,-0.27864363378600154,Comedy,"Becky Martin, Michael Cumming"
Magic's Biggest Secrets Finally Revealed,2002,2009,7,7.8,78.0,High,1345,-0.27864363378600154,Reality-TV,"Don Weiner, Andreas Kranzler"
Soul Food,2000,2004,4,7.7,77.0,High,1345,-0.27864363378600154,Drama,"Salim Akil, Oz Scott, Ken Girotti, Kevin Hooks, Jeffrey W. Byrd, Sean Ryerson, Felicia D. Henderson, Michael McMurray, Bethany Rooney, David Warry-Smith, LeVar Burton, Helaine Head, Clement Virgo, Jeff Woolnough, Monty DeGraff, Tim Hunter, Eriq La Salle, Henry Chan, Janet Davidson, Helen Shaver, Stephen Surjik, Stephen Williams, Dianah Wynter, Clark Johnson, Robert Townsend, Kevin Arkadie, Anais Granofsky, Dianne Houston, Darnell Martin, Lee Rose"
Meerkat Manor,2005,2008,3,8.3,83.0,High,1343,-0.27866529946859614,Documentary,-
How TV Ruined Your Life,2011,2011,0,8.3,83.0,High,1343,-0.27866529946859614,"Comedy, Documentary","Al Campbell, Christian Watt"
Vikings: Athelstan's Journal,2015,2015,0,7.9,79.0,High,1343,-0.27866529946859614,"Action, Drama, History",Lucas Taylor
Train,2020,2020,0,7.8,78.0,High,1343,-0.27866529946859614,"Fantasy, Mystery, Sci-Fi",Seung-jin Ryu
Exosquad,1993,1995,2,8.4,84.0,High,1342,-0.2786761323098934,"Adventure, Animation, Drama",Graham Morris
Winter Sonata,2002,2002,0,7.9,79.0,High,1341,-0.2786869651511907,"Drama, Romance",Yoon Seok-ho
Busted!,2018,2021,3,7.7,77.0,High,1341,-0.2786869651511907,"Comedy, Reality-TV",Jo Hyo-jin
Hunting a Monster,2024,2024,0,7.6,76.0,High,1338,-0.2787194636750825,Documentary,Carles Tamayo
Adulting,2018,2022,4,7.6,76.0,High,1337,-0.2787302965163798,Comedy,"Sundar Sethuraman, Jessica Sadana, Ankita Sharma, Divyanshu Malhotra, Nayana Shyam, Uttara Krishnadas"
The Lucy-Desi Comedy Hour,1957,1960,3,8.3,83.0,High,1335,-0.27875196219897436,"Comedy, Family","Jerry Thorpe, Desi Arnaz"
Mafia Only Kills in Summer,2016,2018,2,8.1,81.0,High,1329,-0.27881695924675803,"Comedy, Drama",Luca Ribuoli
Rise of the Nazis,2019,2023,4,8.1,81.0,High,1328,-0.2788277920880553,"Documentary, History, War","Julian Jones, Alice Smith"
Remember: War of the Son,2015,2016,1,7.6,76.0,High,1328,-0.2788277920880553,"Drama, Thriller",Chang-min Lee
Raven,2018,2022,4,7.6,76.0,High,1327,-0.2788386249293526,"Crime, Drama, Fantasy",Maciej Pieprzyca
FC Bayern: Behind the Legend,2021,2021,0,8.1,81.0,High,1324,-0.27887112345324444,"Documentary, Sport","Nepomuk Fischer, Simon Verhoeven"
Once Upon a Time... The Discoverers,1994,1995,1,7.6,76.0,High,1324,-0.27887112345324444,"Animation, Family, History",Albert Barillé
Radio Free Roscoe,2003,2006,3,7.6,76.0,High,1322,-0.278892789135839,Drama,"Chris Grismer, Chris Deacon, Michael DeCarlo, David Warry-Smith, Philip Earnshaw, Kevin Speckmaier, Marni Banack, John Bell, Harvey Crossland, Stacey Stewart Curtis, Paul Fox, Eleanore Lindo, Graeme Lynch, Donald Shebib, Steve Wright"
Bondi Rescue,2006,2024,18,7.6,76.0,High,1321,-0.27890362197713625,"Documentary, Drama, Reality-TV","Michael Cordell, Liam Taylor"
